Variable Name,Variable Description
MCQ365b,"To lower {your/SP's} risk for certain diseases, during the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: increase {your/his/her} physical activity or exercise?"
MCQ365c,"To lower {your/SP's} risk for certain diseases, during the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: reduce the amount of sodium or salt in {your/his/her} diet?"
MCQ365d,"To lower {your/SP's} risk for certain diseases, during the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: reduce the amount of fat or calories in {your/his/her} diet?"
MCQ370a,"To lower {your/his/her} risk for certain diseases, {are you/is s/he} now doing any of the following: controlling {your/his/her} weight or losing weight?"
MCQ370b,"To lower {your/his/her} risk for certain diseases, {are you/is s/he} now doing any of the following: increasing {your/his/her} physical activity or exercise?"
MCQ370c,"To lower {your/his/her} risk for certain diseases, {are you/is s/he} now doing any of the following: reducing the amount of sodium or salt in {your/his/her} diet?"
MCQ370d,"To lower {your/his/her} risk for certain diseases, {are you/is s/he} now doing any of the following: reducing the amount of fat or calories in {your/his/her} diet?"
MCQ380,"During the past 7 days, how often{have you/has SP} had trouble remembering where {you/he/she} put things, like {your/his/her} keys or {your/his/her} wallet?  Would you say..."
SEQN,Respondent sequence number.
HIQ011,The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan?  [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]
HIQ031A,{Are you/Is SP} covered by private insurance?
HIQ031AA,No coverage of any type.
HIQ031B,{Are you/Is SP} covered by Medicare?
HIQ031C,{Are you/Is SP} covered by Medi-Gap?
HIQ031D,{Are you/Is SP} covered by Medicaid?
HIQ031E,{Are you/Is SP} covered by SCHIP (State Children's Health Insurance Program)?
HIQ031F,{Are you/Is SP} covered by military health plan (Tricare/VA/Champ-VA)?
HIQ031G,{Are you/Is SP} covered by Indian Health Service?
HIQ031H,{Are you/Is SP} covered by state-sponsored health plan?
HIQ031I,{Are you/Is SP} covered by other government insurance?
HIQ031J,{Are you/Is SP} covered by any single service plan?
HIQ105,Insurance card available or not.
HIQ210,"In the past 12 months, was there any time when {you/SP} did not have any health insurance coverage?"
HIQ260,{Do you/Does SP} have Medicare?
HIQ270,{Does this plan/Do any of these plans} cover any part of the cost of prescriptions?
SEQN,Respondent sequence number.
HUD080,"How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights, just total number of hospital admissions for stays which lasted 1 or more nights.)"
HUQ010,{First/Next} I have some general questions about {your/SP's} health.  Would you say {your/SP's} health in general is . . .
HUQ020,"Compared with 12 months ago, would you say {your/SP's} health is now . . ."
HUQ030,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?
HUQ041,"{What kind of place is it - a clinic, doctor's office, emergency room, or some other place?} {What kind of place {do you/does SP} go to most often - a clinic, doctor's office, emergency room, or some other place?}"
HUQ051,"{During the past 12 months, how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctor's office, a clinic or some other place?  Do not include times {you were/s/he was} hospitalized overnight, visits to hospital emergency rooms, home visits or telephone calls."
HUQ061,About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health?  Include doctors seen while {you were} {he/she was} a patient in a hospital.  Has it been . . .
HUQ071,"{During the past 12 months, were you/{was} SP} a patient in a hospital overnight?  Do not include an overnight stay in the emergency room."
HUQ090,"During the past 12 months, that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, {have you/has SP} seen or talked to a mental health professional such as a psychologist, psychiatrist, psychiatric nurse or clinical social worker about {your/his/her} health?"
SEQN,Respondent sequence number.
PAAQUEX,Questionnaire source flag for weighting
PAD615,How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?
PAD630,How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?
PAD645,How much time {do you/does SP} spend walking or bicycling for travel on a typical day?
PAD660,"How much time {do you/does SP} spend doing vigorous-intensity sports, fitness or recreational activities on a typical day?"
PAD675,"How much time {do you/does SP} spend doing moderate-intensity sports, fitness or recreational activities on a typical day?"
PAD680,"The following question is about sitting at school, at home, getting to and from places, or with friends including time spent sitting at a desk, traveling in a car or bus, reading, playing cards, watching television, or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?"
PAD733,"On average, for how long did {you/SP} play these active video games?"
PAQ605,"Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work.  Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work,  household chores, and yard work.  Does {your/SP's} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads, digging or construction work for at least 10 minutes continuously?"
PAQ610,"In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?"
PAQ620,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?
PAQ625,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?"
PAQ635,"The next questions exclude the physical activity at work that you have already mentioned.  Now I would like to ask you about the usual way {you travel/SP travels} to and from places.  For example to school, for shopping, to work.  In a typical week  {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?"
PAQ640,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?"
PAQ650,"The next questions exclude the work and transport activities that you have already mentioned.  Now I would like to ask you about sports, fitness and recreational activities.  In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?"
PAQ655,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?"
PAQ665,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?"
PAQ670,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?"
PAQ677,"In this question you can include activities done in school. On how many of the past 7 days did {you/SP} exercise or participate in physical activity for at least 20 minutes that made {you/him/her} sweat and breathe hard, such as basketball, soccer, running, swimming laps, fast bicycling, fast dancing, or similar activities?"
PAQ678,"On how many of the past 7 days did {you/SP} do exercises to strengthen or tone {your/his/her} muscles, such as push-ups, sit-ups, or weight lifting?"
PAQ679,About how many minutes {do you/does SP} think you should exercise or be physically active each day for good health?
PAQ706,"I'd like to ask you some questions about {your/SP's} activities. During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time."
PAQ710,"Now I will ask you first about TV watching and then about computer use.  Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos?  Would you say . . ."
PAQ715,"Over the past 30 days, on average how many hours per day did {you/SP} use a computer or play computer games outside of school? Include Playstation, Nintendo DS, or other portable video games   Would you say . . ."
PAQ722,"For the next questions, think about the sports, lessons, or physical activities {you/SP} may have done during the past 7 days? Please do not include things {you/he/she} did during the school day like PE or gym class. Did {you/SP} do any physical activities during the past 7 days?"
PAQ724a,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724aa,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724ab,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724ac,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724ad,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724ae,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724af,Physical activity horseback riding
PAQ724b,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724c,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724cm,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724d,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724e,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724f,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724g,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724h,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724i,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724j,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724k,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724l,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724m,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724n,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724o,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724p,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724q,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724r,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724s,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724t,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724u,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724v,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724w,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724x,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724y,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ724z,What physical activities did {you/SP} do during the past 7 days? {PROBE:  Did {you/he/she} do any other physical activities?}
PAQ731,"During the past 7 days, on how many days did {you/SP} play active video games such as Wii Sports, Wii Fit, Xbox 360, Xbox Kinect, Playstation 3, or Dance, Dance Revolution?"
PAQ740,"The next questions ask about activities during the school year. If {you are/SP is} not currently in school, think about {your/his/her} activities when {you were/he was/she was} last in school. Are students at {your/his/her} school allowed to use school facilities during lunch or during a free or elective period, such as the gymnasium, tennis courts, weight room, or track, during school time?"
PAQ742,{Do you/Does SP} use school facilities for physical activity during school time?
PAQ744,{Do you/does SP} have PE or gym during school days?
PAQ746,How often {do you/does SP} have PE or gym?
PAQ748,"On average, how long is the PE or gym class?"
PAQ750,"I am going to read a statement and I want you to let me know if you strongly agree, agree, neither agree nor disagree, disagree or strongly disagree with the statement. {I enjoy participating in PE or gym class.}"
PAQ755,"The following are activities that may be done before, during, or after school other than during PE or gym class. If {you are/SP is} not currently in school, think about {your/his/her} activities when {you were/he was/she was} last in school.} {Do you/Does SP} participate in school sports or physical activity clubs?"
PAQ759a,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759b,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759c,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759d,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759e,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759f,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759g,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759h,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759i,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759j,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759k,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759l,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759m,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759n,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759o,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759p,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759q,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759r,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759s,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759t,In what school sports or physical activity clubs {do you/does SP} participate?
PAQ759u,Participate in martial arts
PAQ759v,Participate in walking
PAQ762,{Do you/Does SP} have recess during school days?
PAQ764,How often {do you/does SP} have recess?
PAQ766,"On average, how long is the recess period?"
PAQ770,"In the past year, did {you/SP} receive a Physical Fitness Test award, such as a President's Challenge or Fitnessgram award?"
PAQ772a,What Physical Fitness Test award did {you/SP} receive?
PAQ772b,What Physical Fitness Test award did {you/SP} receive?
PAQ772c,What Physical Fitness Test award did {you/SP} receive?
SEQN,Respondent sequence number.
PFQ020,"{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?"
PFQ030,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?"
PFQ033,"{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?"
PFQ041,Does {SP} receive Special Education or Early Intervention Services?
PFQ049,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?"
PFQ051,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?"
PFQ054,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?"
PFQ057,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?
PFQ059,"{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?"
PFQ061A,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?"
PFQ061B,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?"
PFQ061C,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?"
PFQ061D,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?"
PFQ061E,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?"
PFQ061F,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?"
PFQ061G,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?"
PFQ061H,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?"
PFQ061I,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?"
PFQ061J,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?"
PFQ061K,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?"
PFQ061L,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?"
PFQ061M,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?"
PFQ061N,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?"
PFQ061O,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?"
PFQ061P,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?"
PFQ061Q,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?"
PFQ061R,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?"
PFQ061S,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?"
PFQ061T,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?"
PFQ063A,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063B,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063C,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063D,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063E,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ090,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?"
SEQN,Respondent sequence number.
HEQ010,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis B? (Hepatitis is a form of liver disease. Hepatitis B is an infection of the liver from the Hepatitis B virus (HBV).)
HEQ020,Please look at the drugs on this card that are prescribed for Hepatitis B. {Were you/Was/s/he/SP} ever prescribed any medicine to treat Hepatitis B?
HEQ030,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis C? (Hepatitis is a form of liver disease. Hepatitis C is an infection of the liver from the Hepatitis C virus (HCV).)
HEQ040,Please look at the drugs on this card that are prescribed for Hepatitis C. {Were you/ Was/s/he/SP} ever prescribed any medicine to treat Hepatitis C?
SEQN,Respondent sequence number.
ECD010,First I have some questions about {SP NAME's} birth. How old was {SP NAME's} biological mother when {s/he} was born?
ECD070A,How much did {SP NAME} weigh at birth?
ECD070B,How much did {SP NAME} weigh at birth?
ECQ020,Did {SP NAME's} biological mother smoke at any time while she was pregnant with {him/her}?
ECQ080,Did {SP NAME} weigh . . .
ECQ090,Did {SP NAME} weigh . . .
ECQ150,Are you now doing anything to help {SP} control {his/her} weight?
MCQ080E,Has a doctor or health professional ever told you that {SP} was overweight?
SEQN,Respondent sequence number.
WHQ030E,How do you consider {SP} weight?
DID040,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?
DID060,For how long {have you/has SP} been taking insulin?
DID250,How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?
DID260,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DID310D,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?"
DID310S,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?"
DID320,"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, 

called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most 

recent LDL cholesterol number?"
DID330,"What does {your/SP's} doctor or other health professional say {your/his/her} 

LDL cholesterol should be?"
DID341,"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?"
DID350,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ010,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?"
DIQ050,{Is SP/Are you} now taking insulin
DIQ060U,UNIT OF MEASURE
DIQ070,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar?  These are sometimes called oral agents or oral hypoglycemic agents.
DIQ080,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?
DIQ160,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?"
DIQ170,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?
DIQ172,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?
DIQ175A,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175B,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175C,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175D,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175E,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175F,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175G,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175H,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175I,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175J,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175K,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175L,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175M,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175N,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175O,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175P,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175Q,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175R,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175S,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175T,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175U,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175V,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
DIQ175W,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175X,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]
DIQ180,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?
DIQ230,When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes?  Do not include doctors or other health professionals.
DIQ240,"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes?  Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors."
DIQ260U,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ275,"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?"
DIQ280,"What was {your/SP's} last ""A one C"" level?"
DIQ291,"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level  should be?  (Pick the lowest level recommended by your health care professional.)"
DIQ300D,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?"
DIQ300S,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?"
DIQ350U,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ360,When was the last time {you/SP} had an eye exam in which the pupils were dilated?  This would have made {you/SP} temporarily sensitive to bright light.
SEQN,Respondent sequence number.
SEQN,Respondent sequence number.
SMD460,"Now I would like to ask you a few questions about smoking in this home.  How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?"
SMD470,"Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?"
SMD480,"(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?"
SEQN,Respondent sequence number.
SMAQUEX2,Questionnaire Mode Flag
SMD030,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?
SMD055,How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?
SMD057,"At that time, about how many cigarettes did {you/SP} usually smoke per day?"
SMD093,May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.
SMD100BR,BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE)
SMD100CO,CIGARETTE CARBON MONOXIDE CONTENT
SMD100FL,CIGARETTE PRODUCT FILTERED OR NON-FILTERED
SMD100LN,CIGARETTE PRODUCT LENGTH
SMD100MN,CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED
SMD100NI,CIGARETTE NICOTINE CONTENT
SMD100TR,CIGARETTE TAR CONTENT
SMD630,How old were you when you smoked a whole cigarette for the first time?
SMD641,On how many of the past 30 days did {you/SP} smoke a cigarette?
SMD650,"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?"
SMDUPCA,Cigarette 12-digit Universal Product Code (UPC)
SMQ020,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?
SMQ040,{Do you/Does SP} now smoke cigarettes?
SMQ050Q,How long has it been since {you/SP} quit smoking cigarettes?
SMQ050U,UNIT OF MEASURE
SMQ078,How soon after you wake up do you smoke?  Would you say . . .
SMQ621,The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many cigarettes have you smoked in your entire life?
